ALGORITHM,CLUSTERS,GAP MEAN,GAP STD
PSOC,2,1.72714012662,0.0126169277966
PSOC,3,1.70221428986,0.016803069882
PSOC,4,1.6725201575,0.0202478861129
PSOC,5,1.65392006331,0.0171839208128
PSOC,6,1.63288170647,0.017931917634
PSOC,7,1.60432491418,0.0163633373858
PSOC,8,1.59639338256,0.0162381769529
PSOC,9,1.58455952313,0.0169223470043
KMPSOC,2,1.76519341724,0.100620801486
KMPSOC,3,2.00709620031,0.0653632297611
KMPSOC,4,2.12093364967,0.0556050253321
KMPSOC,5,2.1737303671,0.0359078181948
KMPSOC,6,2.20888186689,0.030203589891
KMPSOC,7,2.24425685186,0.0276534873866
KMPSOC,8,2.28324065726,0.0298834712755
KMPSOC,9,2.31703908805,0.0290029842955
PSC,2,1.69104459278,0.0145867191754
PSC,3,1.66882102874,0.0220401450136
PSC,4,1.64751369938,0.0204138883251
PSC,5,1.62800540761,0.0211795278071
PSC,6,1.60630876287,0.0194557690333
PSC,7,1.58382883398,0.0147362204882
PSC,8,1.57206716724,0.0246108988065
PSC,9,1.55980939547,0.0245856787402